"number","opened_at","short_description","description","subcategory","close_notes","resolved_by","resolved_at","severity","assigned_to","category","comments","parent_incident","priority"
"INC0016900","2025-11-03 06:34:34","Issue 899: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016899","2025-11-03 06:34:34","Issue 898: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016898","2025-11-03 06:34:34","Issue 897: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016897","2025-11-03 06:34:34","Issue 896: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016896","2025-11-03 06:34:34","Issue 895: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016895","2025-11-03 06:34:33","Issue 894: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016894","2025-11-03 06:34:33","Issue 893: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016893","2025-11-03 06:34:33","Issue 892: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016892","2025-11-03 06:34:33","Issue 891: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016891","2025-11-03 06:34:33","Issue 890: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016890","2025-11-03 06:34:33","Issue 889: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016889","2025-11-03 06:34:32","Issue 888: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016888","2025-11-03 06:34:32","Issue 887: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016887","2025-11-03 06:34:32","Issue 886: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016886","2025-11-03 06:34:32","Issue 885: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016885","2025-11-03 06:34:32","Issue 884: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016884","2025-11-03 06:34:32","Issue 883: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016883","2025-11-03 06:34:31","Issue 882: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016882","2025-11-03 06:34:31","Issue 881: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016881","2025-11-03 06:34:31","Issue 880: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016880","2025-11-03 06:34:31","Issue 879: Email not syncing","User reported Email not syncing during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016879","2025-11-03 06:34:31","Issue 878: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Hardware","","","5 - Planning"
"INC0016878","2025-11-03 06:34:30","Issue 877: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016877","2025-11-03 06:34:30","Issue 876: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016876","2025-11-03 06:34:30","Issue 875: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016875","2025-11-03 06:34:30","Issue 874: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016874","2025-11-03 06:34:30","Issue 873: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Email","","","5 - Planning"
"INC0016873","2025-11-03 06:34:30","Issue 872: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016872","2025-11-03 06:34:29","Issue 871: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016871","2025-11-03 06:34:29","Issue 870: VPN connection failure","User reported VPN connection failure during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
"INC0016870","2025-11-03 06:34:29","Issue 869: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016869","2025-11-03 06:34:29","Issue 868: Laptop boot issue","User reported Laptop boot issue during working hours. Needs IT support intervention.","","","","","3 - Low","","Network","","","5 - Planning"
"INC0016868","2025-11-03 06:34:29","Issue 867: Software installation error","User reported Software installation error during working hours. Needs IT support intervention.","","","","","3 - Low","","Software","","","5 - Planning"
"INC0016867","2025-11-03 06:34:29","Issue 866: Slow internet","User reported Slow internet during working hours. Needs IT support intervention.","","","","","3 - Low","","Access","","","5 - Planning"
